#separator:Semicolon
#html:false
#deck column:
#columns:Front;Back
nom;der Name-n
tournesol;die Sonnenblume-n
graine;der Samen-
noix (général);die Nuss-″e
fruit;das Obst
mûr (fruit);reif
épautre;der Dinkel-
fruit;die Frucht-″e
baie (fruit);die Beere-n
farine;das Mehl-e
beurre;die Butter
farine de blé;das Weizenmehl-e
margarine;die Margarine-n
lait;das Milch-en
amande;die Mandel-n
soja;die Soja-/en
porridge;der Brei-e
flocon;die Flocke-n
flocon d’avoine;die Haferflocke-n
blé;der Weizen
légume (général);das Gemüse-
patate;die Kartoffel-n
bouillon;die Brühe-n
bouillon de légumes;die Gemüsebrühe-n
polenta;die Polenta
maïs;der Mais
carotte;die Möhre-n, die Karotte-n
céréale;das Getreide-
cueillir;pflücken
pate à tartiner, paté;der Brotaufstrich-e
gauffre;die Waffel-n
raisin, grappe;die Traube-n
sucre;der Zucker-
noyau (de fruit);der Kern-e
noix (noyer);die Walnuss-″e
noisette;die Haselnuss-″e
cacahuète;die Erdnuss-″e
noix de cajou;die Cashewnuss-″e
noix de macadamia;die Macadamianuss-″e
noix du brésil;die Paranuss-″e
herbe (cuisine);das Gewürzkraut-″er
épice, condiment;das Gewürz-e
beurre de cacahuète;die Erdnussbutter
pain;das Brot-e
miette;der Krümel-
bière;das Bier-e
vin;der Wein-e
alcool (substance);der Alkohol-e
vinaigre;der Essig-e
levure chimique;das Backpulver-
levure (organique);die Hefe-n
pâte (nouilles);die Nudel-n
ingrédient;die Zutat-en
bretzel;die Laugenbrezel-n, die Bretzel-n
vitamine;das Vitamin-e
protéine;das Eiweiß-e
graisse;das Fett-e
gras;fett
glucide;das Kohlenhydrat-e
mineraux (alimentation);der Mineralstoff-e
poudre;das Pulver-
purée de pommes de terre;der Kartoffelbrei-e
graine de tournesol;der Sonnenblumenkern-e
graine de courge;der Kürbiskern-e
lin;der Lein-e
crêpe, pancake;der Pfannkuchen-
gâteau, tarte;der Kuchen-
spätzle;das Spätzle-
spaghetti;die Spaghetti-s
pizza;die Pizza-s
avocat (aguacatl);die Avocado-s
lasagne;die Lasagne-n
brocoli;der Brokkoli-
artichaut;die Artischocke-n
chou-fleur;der Blumenkohl-e
chou blanc;der Weißkohl-e
chou;der Kohl-e
chou rouge;der Rotkohl-e
chocolat;die Schokolade-n
vanille;die Vanille
cacao;der Kakao-s
pomme;der Apfel-″
cerise;die Kirsche-n
poire;die Birne-n
banane;die Banane-n
apricot;die Aprikose-n
pêche;der Pfirsich-e
figue;die Feige-n
datte;die Dattel-n
orange (fruit);die Orange-n
mandarine;die Mandarine-n
citron;die Zitrone-n
clémentine;die Clementine-n
melon;die Melone-n
pamplemousse;die Pampelmuse-n
pastèque;die Wassermelone-n
courge, citrouille;der Kürbis-se
courgette;die Zucchini-en
aubergine;die Aubergine-n
tomate;die Tomate-n
concombre;die Gurke-n
cornichon;die Gurke-n
sauce;die Sauce-n, die Soße-n
épinard;der Spinat-e
salade;der Salat-e
laitue;der Lattich-e
aliment transformé;das verarbeitete-- Lebensmittel-
aliment;die Kost
mâche (salade);der Feldsalat-e
poireau;der Lauch-e, der Porree-s
oignon;die Zwiebel-n
ail;der Knoblauch
céléri rave;der Kohlrabi-s
choux de Bruxelles;der Rosenkohl
choux chinois;der Chinakohl-e
chou frisé (kale);der Grünkohl-e
prune;die Zwetschge-n, die Pflaume-n
lentille (légume);die Linse-n
lentille rouge;die rote-- Linse-n
haricot (graine);die Bohne-n
riz;der Reis-e
mangue;die Mango-s
pois chiche;die Kichererbse-n
croûte (pain);die Kruste-n
fromage;der Käse-
croissant;das Croissant-s
franzbrötchen;das Franzbrötchen-
barre (de chocolat);der Riegel-
jus (de fruit);der Saft-″e
thym;der Thymian-e
jus d’orange;der Orangensaft-″e
jus de pomme;der Apfelsaft-″e
romarin;der Rosmarin
sauge;der Salbei-e
basilic;das Basilikum-/en
origan;der Oregano
marjolaine;der Majoran-e
curcuma;die Kurkuma-/en
asefétide;der Asant-e
fenouil;der Fenchel-
poivron;die Paprika-(s)
piment;der Chili-s
noix de coco;die Kokosnuss-″e
paprika;der Paprika-(s)
fraise;die Erdbeere-n
framboise;die Himbeere-n
myrtille;die Blaubeere-n, die Heidelbeere-n
mûre (fruit);die Brombeere-n
cranberry;die Cranberry-s
groseille;die Johannisbeere-n
cassis;die schwarze-- Johannisbeere-n
persil;die Petersilie-n
céléri;der Sellerie-s, die Sellerie-n
eau;das Wasser-
boite de conserve;die Dose-n
frais;frisch
cuit;gekocht
décongeler;auf-tauen
petit pois;die Erbse-n
sésame;der Sesam
tahini;die Tahina
tofu;der Tofu
tempeh;das Tempeh
menthe;die Minze-n
thé (herbal);der Tee-s
thé (noir);der Schwarztee-s
pavot;der Mohn-e
fleur;die Blume-n
fleurir;blühen
tronc;der Stamm-″e
pollen;der Blütenstaub-″e
feuille (plante);das Blatt-″er
racine (plante);die Wurzel-n
fougère;der Farn-e
champignon;der Pilz-e
lierre;der Efeu
vigne;die Weinrebe-n
vignoble;der Weinberg-e, der Weingarten-″
herbe (plante graminée);das Gras-″er
pétale;das Blütenblatt-″er
cactus;der Kaktus-/een
rose (fleur);die Rose-n
jonquille;die Narzisse-n
paquerette;das Gänseblümchen-
pissenlit;der Löwenzahn-″e
buisson;der Busch-″e, der Strauch-″er
épine;der Dorn-″er
écorce;die Rinde-n
ronce;der Brombeerstrauch-″er
herbe (plante aromatique);das Kraut-″er
ortie;die Brennnessel-n
sapin (Abies);die Tanne-n
pin (Pinus, Strobus, longues aiguilles);die Kiefer-n
conifère;der Nadelbaum-″e
épine de conifère;die Nadel-n
figuier;der Feigenbaum-″e
palmier;die Palme-n
algue;die Alge-n
mousse (plante);das Moos-e
lichen;die Flechte-n
moisissure;der Schimmel
plante;die Pflanze-n
arbre;der Baum-″e
forêt;der Wald-″er
animal;das Tier-e
espèce (bio.);die Spezies-
dauphin (cétacé);der Delfin-e
phoque;der Seehund-e
hérisson;der Igel-
oursin;der Seeigel-
étoile de mer;der Seestern-e
papillon;der Schmetterling-e
mite, papillon de nuit;die Motte-n
mouette;die Möwe-n
chenille (animal);die Raupe-n
baleine (animal);der Wal-e
abeille;die Biene-n
guêpe;die Wespe-n
tortue;die Schildkröte-n
hippocampe;das Seepferdchen-
fourmi;die Ameise-n
éponge (animal);der Schwamm-″e
oie;die Gans-″e
chouette, hibou;die Eule-n
araignée;die Spinne-n
aile;der Flügel-
plume;die Feder-n
aboyer;bellen
corne (animal);das Horn-″er
bec;der Schnabel-″
loup;der Wolf-″e
moustique;die Mücke-n
mouche;die Fliege-n
voler (se déplacer dans les airs);fliegen (o-o)
termite;die Termite-n
millepatte;der Tausendfüßler-
patte;das Bein-e
scorpion;der Skorpion-e
insecte;das Insekt-en
mollusque;die Molluske-n
manger (pour les animaux);fressen (i-a-e)
mamifère;das Säugetier-e
reptile;das Reptil-ien
vertébré;das Wirbeltier-e
escargot;die Schnecke-n
lapin;das Kaninchen-
limace;die Nacktschnecke-n
pigeon;die Taube-n
rat;die Ratte-n
souris;die Maus-″e
écureuil;das Eichhörnchen-
poisson;der Fisch-e
requin;der Hai-e
raie;der Rochen-
ours;der Bär-en
lion;der Löwe-n
chien;der Hund-e
corneille;die Krähe-n
chat;die Katze-n
tigre;der Tiger-
panthère;der Panther-
girafe;die Giraffe-n
éléphant;der Elefant-en
rhinocéros;das Nashorn-″er
hippopotame;das Flusspferd-e
grenouille;der Frosch-″e
crapeau;die Kröte-n
corbeau;der Rabe-n
oiseau;der Vogel-″
pie (oiseau);die Elster-n
moineau;der Sperling-e, der Spatz-en
poulet;das Huhn-″er
cigogne;der Storch-″e
chèvre;die Ziege-n
mouton;das Schaf-e
vache;die Kuh-″e
bovin;das Rind-er
taureau;der Bulle-n
troupeau;die Herde-n
cochon;das Schwein-e
canard;die Ente-n
crabe;der Krebs-e
cocquillage, bivavle;die Muschel-n
huitre;die Auster-n
méduse;die Qualle-n
dinosaure;der Dinosaurier-
lézard;die Eidechse-n
crocodile;das Krokodil-e
alligator;der Alligator-en
serpent;die Schlange-n
ammonite;der Ammonit-en
fossile;das Fossil-ien
trilobite;der Trilobit-en
aigle;der Adler-
cygne;der Schwan-″e
grogner;brummen
chasser;jagen
pêcher;fischen
kangourou;das Känguru-s
jaguar;der Jaguar-e
lynx;der Luchs-e
blaireau;der Dachs-e
cerf;der Hirsch-e
chevreuil;das Reh-e
renard;der Fuchs-″e
ver de terre;der Wurm-″er
cheval;das Pferd-e
poney;das Pony-s
âne;der Esel-
buffle;der Büffel-
fer;das Eisen-
rouille;der Rost
rouiller;rosten
acier;der Stahl-″e
élément (catégorie chimique);das Element-e
argent (métal);das Silber
craie, calcite (matériau);der Kalk-e
or;das Gold
cuivre;das Kupfer
carbone (C);der Kohlenstoff
aluminium;das Aluminium
oxygène;der Sauerstoff
azote;der Stickstoff
hydrogène;der Wasserstoff-e
acide (substance);die Säure-n
officiel;offiziel
nécessiter, requérir;benötigen (+A)
valide, valable;gültig
permettre, autoriser;erlauben
signer;unterschreiben (ie-ie)
accepter, reconnaître, approuver;an-erkennen (a-a)
demande, requête;der Antrag-″e
demander, faire une requête (pour faire quelquechose);auf-fordern
résidence (adm.);der Aufenthalt-e
étranger (nom);der Ausländer-, die Ausländerin-nen
fonctionnaire;der Beamter--, die Beamte--
confirmer, prouver;bestätigen
autorité (gouv.);die Behörde-n
assurance (contrat de garantie);die Versicherung-en
formulaire;das Formular-e
compte (utilisateur, bancaire);das Konto-/en
permis;die Genehmigung-en
visa;das Visum-/a
compétence, validité;die Zuständigkeit-en
remplir (un formulaire);aus-füllen
bienvenu;willkommen
(se) présenter (quelqu'un ou soi-même);(sich) vor-stellen
dire bonjour;sich begrüßen
bise, bisou;der Kuss-″e
faire la bise/un ou des bisou(s), embrasser;küssen
ami;der Freund-e, die Freundin-nen
accompagner;begleiten (+A)
dire aurevoir;sich verabschieden
à plutard;bis später
à bientôt;bis bald
manifestation, évènement, cérémonie;die Veranstaltung-en
bye;tschüss
je suis désolé;es tut mir leid
rendez-vous;der Termin-e
arranger (un rendez-vous);vereinbaren, aus-machen
se rencontrer (quelqu'un connu);treffen (sich) (i-a-o)
offrir, donner;verschenken
se rencontrer (suivant un rdv);sich treffen (mit) (i-a-o)
rencontrer par hasard;begegnen (+D)
inviter;ein-laden (ä-u-a)
annuler (rdv);ab-sagen
rater (rdv);verpassen
il me tarde;ich freue mich (auf+A)
s’appeler;heißen (ie-ei)
nécessiter;bedürfen (+G)
volontaire (adj.);freiwillig
avoir besoin de;brauchen (+A)
compréhension (=empathie);das Verständnis-se
constater la perte;vermissen
déplorer l'absence;vermissen
remercier;danken (+D, für)
offrir (intrinsèquement);bieten (o-o)
être reconnaissant;sich bedanken
récompenser;belohnen (für)
féliciter;gratulieren (+D, zu)
satisfaire;befriedigen (+A)
désirer, demander (s'attendre à);verlangen
souhaiter, désirer;wünschen
supporter, endurer;ertragen (ä-u-a)
supporter, faire avec;vertragen (ä-u-a)
en valoir la peine;sich lohnen
valoir la peine de;lohnen
opportunité;die Gelengenheit-en
coincidence;der Zufall-″e
chance;das Glück
chance;die Chance
profiter;profitieren
soutenir, assister;unterstützen
aider;helfen (+D, bei) (i-a-o)
suffire;reichen
avantageux;günstig
déranger, perturber;stören
sauver;retten
en espérant que (adv.);hoffentlich
finir, terminer (une tâche, un produit);erledigen
gêner, entraver;behindern
survivre;überleben
fuir;fliehen (o-o)
entreprendre (tâche);unternehmen (im-ah-om)
réussir;gelingen (a-u) (sujet/objet inversés)
rater, ne pas réussir;misslingen (a-u) (sujet/objet inversés)
victoire;der Sieg-e
qui a beaucoup de succès (adj.);erfolgreich
succès, réussite;der Erfolg-e
faillir, échouer;versagen
capable, apte;fähig
persévérer;beharren (bei)
ennuyeux (intérêt);langweilig
courage;der Mut
se tromper;(sich) irren
erreur;der Fehler-
regretter;bedauern
difficile;schwierig
facile;einfach
simple;einfach
curieux (désirant connaître);neugierig
essayer;versuchen
essayer, tester (utiliser);aus-probieren
essayer, tester (est-ce possible?), goûter;probieren
tentative;der Versuch-e
terminer, finir;beenden
résoudre;lösen
chercher;suchen
améliorer;verbessern
inventer;erfinden (a-u)
trouver;finden (a-u)
masquer;maskieren
cacher, être caché;verdecken
cacher (pour ne pas être trouvé);verstecken
se cacher (pour ne pas être trouvé);sich verstecken (vor)
découvrir;entdecken
but, objectif;das Ziel-e
but, dessein;der Zweck-e
secret (adj.);geheim
secret, mystère;das Geheimnis-se
danger, risque (possibilité de dammage);die Gefahr-en
dangereux;gefährlich
pénurie, manque;der Mangel-″
attention!;Vorsicht!, Achtung!
risque (possibilité de conséquences négatives);das Risiko-s
responsable (adj.);verantwortlich (für)
fiable, digne de confiance;zuverlässig
prendre charge, assumer;übernehmen (im-ah-om)
en règle;in Ordnung
célèbre;berühmt
mener;führen
guider;führen
influencer, avoir des répercussions;beeinflussen
servir;dienen (+D), bedienen
règle (principe);die Regel-n
ordonner (donner un ordre);befehlen (ie-a-o)
laisser faire, autoriser;zu-lassen (ä-ie-a)
gérer, traiter d'une certaine façon;um-gehen (ing-ang)
controller;steuern
confier (objet);an-vertrauen (+A, +D)
insérer;ein-fügen
contenu;der Inhalt-e
ordonner, arranger, organiser;an-ordnen
occuper;besetzen
enlever;entfernen
supprimer;auf-lösen
contribuer;bei-tragen (ä-u-a)
copier (faire une copie);kopieren
sauvegarder (ordi);speichern
collecter, rassembler;sammeln
garder (retenir);behalten (ä-ie-a)
assembler;montieren
poser;setzen, stellen, legen
changer, échanger;wechseln (von+D, auf+A)
échanger (permuter, contre quelquechose);tauschen
partager, diviser;teilen
séparer;trennen
occupé (en parlant d'un lieu);besetzt
remplir;füllen
vider;leeren
vider, sortir des choses;aus-räumen
insérer, planter;stecken
pile, empilement;der Stapel-
charger;laden (ä-u-a)
apporter;bringen (ach-ach)
apporter, amener avec soi;mit-bringen (ach-ach)
disponible;verfügbar
à la place;stattdessen
trier, organiser;sortieren
copier (imiter);nach-machen
sachet;die Tüte-n
poche, sacoche;die Tasche-n
sachet, bourse;der Beutel-
sac;der Sack-″e
omettre;aus-lassen (ä-ie-a)
réparer;reparieren
utiliser;benutzen (+A, zu), verwenden (+A, zu)
faire usage;Gebrauch machen (von)
fonctionner;funktionieren
éviter (évènement ou action);vermeiden (ie-ie)
empêcher (un évènement);verhindern
arrêter (de faire qqchose);auf-hören
machine;die Maschine-n
se servir (opérer);bedienen
pratique;praktisch
commode, confortable;bequem
utile;nützlich
être en marche;laufen (äu-ie-au)
science (approche méthodique et rigoureuse du savoir);die Wissenschaft-en
science naturelle;die Naturwissenschaft-en
recherche scientifique;die Forschung-en
conductivité (électrique, etc.);die Leitfähigkeit-en
astronomie;die Astronomie
thermique;thermisch
système;das System-e
trajectoire;die Bahn-en
potentiel (duquel dérive une forme d'énergie);das Potential-e
méthode;die Methode-n
fusée, roquette;die Rakete-n
mathématiques (science);die Mathematik
particule (science);das Teilchen-
gaz;das Gas-e
atome;das Atom-e
molécule;das Molekül-e
elastique (adj.);elastisch
statistique (adj.);statistisch
statistique (discipline);die Statistik-en
équilibre (mécanique);das Gleichgewicht-e
démontrer, prouver, détecter (prouver l'existence);nach-weisen (ie-ie)
cristal (physique, minéraux);der Kristall-e
rigide, indéformable;starr
solide indéformable;der starre- Körper-
vitesse angulaire;die Rotationsgeschwindigkeit-en
densité, masse volumique;die Dichte-n
lunette, téléscope;das Fernrohr-e
calculer;berechnen
déterminer;bestimmen
être vivant (créature);das Lebewesen-
rayonnement;die Strahlung-en
rayon gamma;der Gammastrahl-en
rayon X;der Röntgenstrahl-en
ultraviolet;ultraviolett
lumière visible;das sichtbare- Licht-er
infrarouge;infrarot
microonde (rayonnement);die Mikrowelle-n
onde radio;die Radiowelle-n
charge (électrique);die Ladung-en
mécanique (discipline physique);die Mechanik
stationnaire;stationär
diffraction;die Beugung-en
équation des ondes;die Wellengleichung-en
La vibration de la corde est décrite par le déplacement $\varphi(x,t)$ par rapport à la position d'équilibre en fonction de la position et du temps;"die Schwingung der Saite wird beschrieben durch die Auslenkung $\varphi(x,t)$ aus der Gleichgewichtslage als Funktion des Ortes und der Zeit"""
exercer, appliquer (une force);wirken (auf+A)
un corps n'est accéléré que lorsqu'une force lui est appliquée;ein Körper wird nur beschleudigt, wenn eine Kraft auf ihn wirkt
amplitude (phy.);die Amplitude-n
probabilité de présence;die Aufenthaltswahrscheinlichkeit-en
moment cinétique;der Drehimpuls-e
fréquence;die Frequenz-en
quantité de mouvement;der Impuls-e
oscillateur harmonique;der harmonische-- Oszillator-en
énergie potentielle;die potentielle-- Energie-n
potentiel (adj.);potentiell, potenziell
désintégration (particules);der Zerfall-″e
courbure (géométrique);die Krümmung
axe;die Achse-n
équidistant;äquidistant
résoudre l'équation en utilisant les coordonnées polaires;die Gleichung in Polarkoordinaten lösen
dériver (une fonction);ab-leiten (nach?)
une dérivée du premier ordre par rapport au temps;eine Ableitung erster Ordnung nach der Zeit
fonction;die Funktion-en
distribution, répartition;die Verteilung-en
fonction constante;die stetige-- Funktion-en
coordonnée (d'un vecteur);die Koordinate-n
coordonnée polaire;die Polarkoordinate-n
opérateur (mathématique);der Operator-en
ellipse;die Ellipse-n
hyperbole;die Hyperbel-n
parabole;die Parabel-n
formule (mathématique);die Formel-n
équation;die Gleichung-en
infini (adj.);unendlich
infini, infinité;die Unendlichkeit-en
théorème;der Satz-″e
série (somme);die Reihe-n
série entière;die Potenzreihe-n
numérateur;der Zähler-
dénominateur;der Nenner-
division (arithmétique);die Division-en
produit (arithmétique);das Produkt-e
puissance (arithmétique);die Potenz-en
décalage, perturbation;die Verrückung-en
quadratique, carré (adj.);quadratisch
racine (arithmétique);die Wurzel-n
normer (math.);normieren
module, norme;der Betrag-″e
vecteur;der Vektor-en
matrice;die Matrix-/zen
somme, total;die Summe-n
parallèle;parallel (zu)
perpendiculaire;rechtwinklig, senkrecht (zu)
angle;der Winkel-
intégrale (math.);das Integral-e
dérivée (math.);das Differential-e
dénombrable;abzählbar
nombre (quantité);die Anzahl-en
infinité dénombrable (quantité);die abzählbar unendliche-- Anzahl-en
infini dénombrable (en quantité infinie dénombrable);abzählbar unendlich viele
équation différentielle;die Differentialgleichung-en
sur, divisé par (fraction);durch
factorielle;die Fakultät-en
n factorielle;n Fakultät
a exposant b;a hoch b
partie imaginaire;der Imaginärteil-e
partie réelle;der Realteil-e
élément (d'un ensemble);das Element-e
x appartient à M;x ist Element von M
2 plus 2 est égal à 4;zwei plus zwei ist gleich vier
intervalle (ensemble mathématique);das Intervall-e
intervalle fermé;das abgeschlossene-- Intervall-e
intervalle ouvert;das offene-- Intervall-e
cardinalité;die Kardinalität-en
imaginaire;imaginär
réel (des nombres réels);reell
complexe (des nombres complexes);komplex
fois (multiplié);mal
3 fois 3 font 9;drei mal drei ist neun
ensemble (collection mathématique);die Menge-n
strictement négatif;negativ
positif;nichtnegativ
strictement positif;positiv
équation aux dérivées partielles;die partielle-- Differentialgleichung-en
carré (puissance 2);Quadrat, zum Quadrat, hoch zwei
différent (mathématique);ungleich
f(x), f de x;f von x
racine (carrée) de x;die Wurzel aus x
racine n-ième de x;die n-te Wurzel aus x
probabilité;die Wahrscheinlichkeit-en
densité de probabilité;die Wahrscheinlichkeitsdichte-n
chaque état ne peut être occupé qu'une seule fois;jeder Zustand kann nur einfach besetzt sein
rude, vulgaire;derb
foutre (baiser), aller se faire foutre;ficken 🤬
merde;die Kacke 🤬, die Scheiße 🤬
chier;kacken 🤬
gerber, dégueuler;kotzen 🤬
pisser;pissen 🤬
chier;scheißen (i-i) 🤬
